"pt_id","line_id","RouteName","RTENAME"
6,5,"VALHERMOSO SPGS","VALHRMSA SPG"
77,5,"VALHERMOSO SPG 2","VALHRMSA SPG"
80,76,"LATHAM 2","LATHAM II"
81,38,"DAUPHIN IS 2","DAUPHIN IS"
86,81,"Borden Springs 2","BORDEN SPRINGS II"
142,158,"CHENA RIVER","CHENA HOT SPRING 2"
182,131,"Kodiak 2","KODIAK"
214,202,"ST. MARY'S","ST. MARY"
233,221,"KOBUK RIVER (Short)","KOBUK RIVER"
234,222,"PINOCHE TRAL (Short)","PINOCHE TRAL"
235,223,"KENAI LAKE (Short)","KENAI LAKE"
237,224,"HARLEQUIN L (Short)","HARLEQUIN L"
238,153,"SITKA (Short)","SITKA"
241,226,"ALPENGLOW (Short)","ALPENGLOW"
244,229,"DILLINGHAM (Short)","DILLINGHAM"
247,232,"GALENA (Short)","GALENA"
248,218,"KOTZEBUE (Short)","KOTZEBUE"
249,234,"COLD BAY (Short)","COLD BAY"
250,235,"KING SALMON (Short)","KING SALMON"
505,272,"PEŃA BLANCA","PENA BLANCA"
553,319,"CACTUS FOREST","CATUS FOREST"
558,293,"PALO VERDE 2","PALO VERDE"
561,299,"RED ROCK 2","RED ROCK"
623,366,"Hatfield 2","HATFIELD"
624,376,"Princeton 2","PRINCETON"
925,493,"VALYERMO","VALERMO"
968,534,"TUOLUMNE GROVE","TUOLUMNE GR"
1018,489,"Lake Hemet 2","LAKE HEMET"
1025,512,"JOSHUA TREE 2","JOSHUA TREE"
1029,438,"Hollister 2","HOLLISTER"
1030,446,"LENWOOD 2","LENWOOD"
1031,545,"ORLEANS 2","ORLEANS"
1041,431,"Harbor Lake 2","HARBOR LAKE"
1082,580,"Glen Ellen 3","GLEN ELLEN"
1084,618,"FOREST HILL 2","FOREST HILL"
1154,659,"KIOWA 2","KIOWA"
1155,660,"Last Chance 2","LAST CHANCE"
1248,771,"GOLD HILL 2","GOLD HILL"
1255,793,"ARSENAL 2","ARSENAL"
1273,802,"WOODSTOCK 2","WOODSTOCK"
1274,809,"WARREN 2","WARREN"
1292,828,"PEPPERBOX 2","PEPPERBOX"
1371,830,"Oak Grove 2","OAK GROVE"
1375,838,"PORT ST JOE 2","PORT ST JOE"
1378,846,"Myakka Head 2","MYAKKA HEAD"
1379,852,"Mabel 2","MABEL"
1390,889,"SANDY 2","SANDY"
1396,926,"SUGARLOAF KEY","SUGARLOAF KEY 2"
1398,865,"Sanderson 2","SANDERSON"
1422,939,"MERRITT ISLAND 2","MERRITT ISL"
1481,1005,"FOLKSTON","FOLKS"
1492,1006,"PINEORA 2","PINEORA"
1493,965,"LINCOLNTON 2","LINCOLNTON"
1531,1038,"Sharon 2","SHARON"
1532,1044,"STONEY POINT 2","STONEY POINT"
1592,1083,"SAWTOOTH CITY 2","SAWTOOTH CTY"
1854,1351,"Rock Creek 2","ROCK CREEK"
1855,1357,"JEWELL 2","JEWELL"
1945,1437,"PAINTSVILLE","STAFFORDSVIL"
1979,1483,"GREENSBURG","GREENSBERG"
2000,1504,"BELAIR","BETAIR"
2009,1466,"HACKBERRY 2","HACKBERRY"
2011,1471,"FISHVILLE 2","FISHVILLE"
2012,1527,"NATCHITOCHES","NATCHEZ"
2026,1522,"IVAN 2","IVAN"
2041,1532,"HARGIS 2","HARGIS"
2136,1620,"BIG TWENTY","BIG TWENTY II"
2146,1580,"Northfield 2","NORTHFIELD"
2151,1620,"Big Twenty 2","BIG TWENTY II"
2329,1688,"ACCIDENT 2","ACCIDENT"
2358,1707,"WELLFLEET 2","WELLFLEET"
2362,1721,"CUMMINGTON 2","CUMMINGTON"
2440,1748,"ISABELLA 2","ISABELLA"
2448,1785,"BELL OAK 2","BELL OAK"
2473,1831,"BARRY S.G.A. 2","BARRY S.G.A."
2475,1919,"CHATFIELD","CHATFIELD II"
2539,1902,"CHOKIO NORTH","CHOKIO"
2557,1919,"Chatfield 2","CHATFIELD II"
2560,1889,"CALEDONIA 2","CALEDONIA"
2566,1925,"WHITEWATER 2","WHITEWATER"
2611,1928,"SIBLEY","BEVERLY"
2613,1931,"TCHULA 2","TCHULA"
2617,1950,"SCOOBA 2","SCOOBA"
2799,2090,"WILLOW CREEK 2","WILLOW CREEK"
2800,2094,"ST XAVIER 2","ST XAVIER"
2905,2136,"GRETNA 2","GRETNA"
2969,2208,"JARBIDGE","JARBRIDGE"
2975,2183,"OREANA","RYE PATCH"
2980,2200,"SILVER PEAK 2","SILVER PEAK"
2982,2206,"SANDY VALLEY","JEAN LAKE"
2983,2208,"Jarbidge 2","JARBRIDGE"
2995,2222,"Carson River 2","CARSON RIVER"
2996,2220,"HUMBOLDT NF 2","HUMBOLDT NF"
3136,2288,"HOLMANSVILLE","HOLMANSVILLE 2"
3164,2265,"CROTON 2","CROTON"
3168,2285,"PEDRICKTOWN 2","PEDRICKTOWN"
3170,2283,"SPRAGUETOWN 3","SPRAGUETOWN"
3249,2331,"MT. TAYLOR 2","MT. TAYLOR"
3253,2344,"LABORCITA 2","LABORCITA"
3257,2372,"LA PLATA 2","LA PLATA"
3327,2444,"N VICTORY 2","N VICTORY"
3376,2402,"S BERNE 2","S BERNE"
3377,2411,"OXFORD 2","OXFORD"
3381,2457,"OLD FORGE 2","OLD FORGE"
3386,2385,"Warwick 2","WARWICK"
3436,2523,"CALIFORNIA 2","CALIFORNIA"
3554,2617,"DANZIG 2","DANZIG"
3667,2683,"Marion 2","MARION"
3689,2740,"SHAWNEE S.F. 2","SHAWNEE S.F."
3753,2811,"WICHITA MTNS EAST","WICHITA MTNS"
4104,2892,"Bly  2","BLY  II"
4211,2998,"POCONO SUMMIT","POCONO SUMIT"
4275,2981,"Roulette 2","ROULETTE"
4280,3001,"STARLIGHT 2","STARLIGHT"
4808,3171,"LANE 2","LANE"
4820,3220,"RAILROAD BUTTE","RAILROAD BUT"
4839,3239,"CAMPBELLSVILLE","CMPBELSVILE"
4860,3260,"JEFFERSON CTY","JEFFERSN CTY"
4869,3260,"Jefferson City 2","JEFFERSN CTY"
4871,3224,"PAWPAW 2","PAWPAW"
4994,3292,"CATARINA 2","CATARINA"
5003,3323,"THORNTON 2","THORNTON"
5011,3283,"ENCINAL 2","ENCINAL"
5013,3386,"OZONA 2","OZONA"
5015,3292,"CATARINA 3","CATARINA"
5019,3323,"THORNTON 3","THORNTON"
5051,3436,"TOYAHVALE","TOYAHVILLE"
5059,3444,"SHIELDS","SHIELD"
5108,3412,"Bayside 2","BAYSIDE"
5113,3437,"QUITMAN CANYON 2","QUITMAN CYN."
5114,3439,"Powell Park 2","POWELL PARK"
5119,3488,"Bayside 3","BAYSIDE 2"
5155,3497,"WENDOVER 2","WENDOVER"
5203,3514,"Iron Springs 2","IRON SPRINGS"
5208,3559,"La Sal 2","LA SAL"
5232,3559,"La Sal 3","LA SAL"
5234,3593,"ALTON 2","ALTON"
5235,3585,"Wellington 3","WELLINGTON"
5327,3636,"TAYLORSTOWN 2","TAYLORSTOWN"
5329,3656,"CARTERS BRDG 2","CARTERS BRDG"
5334,3681,"Hebron 2","HEBRON"
5360,3712,"IRON MOUNTAIN 2","IRON MTN."
5361,3712,"IRON MOUNTAIN 3","IRON MTN."
5362,3710,"Dismal Swamp 2","DISMAL SWAMP"
5449,3719,"WARM BEACH 2","WARM BEACH"
5453,3755,"Ewan 2","EWAN"
5464,3804,"MENDOTA 3","MENDOTA 2"
5614,3897,"Land O' Lakes 2","LAND O LAKES"
5753,4010,"Patrick Draw 2","PATRICK DRAW"
5754,4011,"Savery 2","SAVERY"
5764,4080,"ROCK SPRINGS 2","ROCK SPRINGS"
5771,4010,"Patrick Draw 3","PATRICK DRAW"
5773,4101,"CARTER 2","CARTER"
5774,4102,"Seedskadee 2","SEEDSKADEE"
5775,3994,"COLTER BAY 2","COLTER BAY"
5776,4010,"Patrick Draw 4","PATRICK DRAW"
5778,4010,"Patrick Draw 5","PATRICK DRAW"
5779,4010,"Patrick Draw 6","PATRICK DRAW"
